Название,Ссылка,Rss,Selector,Кодировка,Рекамендованно
Риа Новости Происшествия,https://ria.ru,http://ria.ru/export/rss2/incidents/index.xml,,,
Риа Новости Оборона и безопасность,https://ria.ru,http://ria.ru/export/rss2/defense_safety/index.xml,,,
Риа Новости Наука и технологии,https://ria.ru,http://ria.ru/export/rss2/science/index.xml,,,
Риа Новости Экология,https://ria.ru,http://eco.ria.ru/export/rss2/eco/index.xml,,,
Риа Новости Туризм,https://ria.ru,http://ria.ru/export/rss2/tourism/index.xml,,,
Риа Новости Культура,https://ria.ru,http://ria.ru/export/rss2/culture/index.xml,,,
Риа Новости Ленты анонсов,https://ria.ru,http://ria.ru/export/rss2/announce/index.xml,,,
Риа Новости Справки,https://ria.ru,http://ria.ru/export/rss2/spravka/index.xml,,,
Риа Новости Фотоленты,https://ria.ru,http://ria.ru/export/rss2/photolents/index.xml,,,
Риа Новости Видео,https://ria.ru,http://ria.ru/export/rss2/video/index.xml,,,
Риа Новости Инфографика,https://ria.ru,http://ria.ru/export/rss2/infografika/index.xml,,,
Риа Новости Ты-репортер,https://ria.ru,http://www.youreporter.ru/export/rss2/ugc/index.xml,,,
ТАСС,http://tass.ru,http://tass.ru/rss/v2.xml,,,1
hi-news,https://hi-news.ru,https://hi-news.ru/feed,,,
Техномания Автомобили,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/automotive-news/,,,
Техномания Космос,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/kosmos/,,,
Техномания Авиация,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/aviation-news/,,,
Техномания Военная техника,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/voennaya-texnika/,,,
Техномания Электроника,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/electronics/,,,
"Техномания Интернет, IT",https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/internet-news/,,,
Техномания Научные открытия,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/science-news/,,,
Техномания Технология ,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/technology/,,,
"Техномания Разное, интересное",https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/other-interesting-news/,,,
Техномания Образование и наука ,https://texnomaniya.ru,https://texnomaniya.ru/rss_category_feed/nauka/,,,
Техномания Все новости,https://texnomaniya.ru,https://texnomaniya.ru/rss_all_news_feed/,,,
wylsacom,http://blog.wylsa.com,http://blog.wylsa.com/rss,,,
Криптовалюта.TECH,https://cryptocurrency.tech,https://cryptocurrency.tech/feed/,,,1
Cryptonews,https://ru.crypto-news.io,https://ru.crypto-news.io/rss/feed/news?category=,,,
РБК,https://www.rbc.ru,http://static.feed.rbc.ru/rbc/logical/footer/news.rss,,,
cryptowiki,https://cryptowiki.ru,https://cryptowiki.ru/feed,,,
cryptocurrencynews,https://cryptocurrencynews.com,https://cryptocurrencynews.com/feed/,,,
Медуза,https://meduza.io,https://meduza.io/rss/all,,,1
finanz Все новости,https://www.finanz.ru,https://www.finanz.ru/rss/novosti,,,1
finanz Новости Finanz.ru,https://www.finanz.ru,https://www.finanz.ru/rss/novosti/istochnik/finanzru,,,
finanz Новости Блумберг,https://www.finanz.ru,https://www.finanz.ru/rss/novosti/istochnik/bloomberg,,,
finanz Новости ТАСС,https://www.finanz.ru,https://www.finanz.ru/rss/novosti/istochnik/tass,,,
finanz Главные новости,https://www.finanz.ru,https://www.finanz.ru/rss/novosti/glavnye-novosti,,,
finanz Прогнозы аналитиков,https://www.finanz.ru,https://www.finanz.ru/rss/prognozy-analitikov,,,
woman.ru - Все новые публикации,http://www.woman.ru,http://www.woman.ru/rss/,,,
woman.ru - Все новые темы форума,http://www.woman.ru,http://www.woman.ru/forum/rss/,,,
МКRU Все материалы,https://www.mk.ru,https://www.mk.ru/rss/index.xml,,,
МКRU Новостная лента,https://www.mk.ru,https://www.mk.ru/rss/news/index.xml,,,
МКRU Свежий МК,https://www.mk.ru,https://www.mk.ru/rss/daily/index.xml,,,
МКRU Экономика,https://www.mk.ru,https://www.mk.ru/rss/economics/index.xml,,,
МКRU Политика,https://www.mk.ru,https://www.mk.ru/rss/politics/index.xml,,,
МКRU Происшествия,https://www.mk.ru,https://www.mk.ru/rss/incident/index.xml,,,
